x,y
397936.726,4362001.161
378816.6685,4338763.228
377810.3497,4301225.028
377810.3497,4270836.962
386867.219,4245811.496
390892.4943,4217210.963
395924.0884,4195760.564
390892.4943,4151072.231
380829.3061,4138559.498
368753.4804,4108171.432
380829.3061,4083145.966
392905.1319,4092083.632
415044.1458,4083145.966
418063.1023,4140347.031
437183.1597,4183247.831
442214.7538,4204698.23
427119.9716,4199335.63
418063.1023,4244023.963
417056.7835,4195760.564
407999.9141,4236873.83
394917.7695,4263686.829
415044.1458,4272624.496
399949.3636,4288712.295
407999.9141,4306587.628
394917.7695,4313737.762
406993.5953,4326250.495
401962.0012,4335188.161
422088.3775,4370938.827
417056.7835,4383451.56
409006.2329,4383451.56
410012.5518,4369151.294
